fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.16666666666666666,True,"['mean', 'raw', 'raw', 'raw', 'raw', 'raw']",0.006336594522301391,0.003002084645940028,0.0033345098763613626,0.06083199871685921,0.059863606282012906,0.0009683924348463033
fold_02,2020,6.0,0.5,True,"['growth', 'raw', 'lag', 'raw']",0.055843015305552066,0.06747380268687274,-0.011630787381320673,0.10421397646691755,0.0985742930182198,0.005639683448697752
fold_03,2022,6.0,0.3333333333333333,True,"['raw', 'std', 'raw']",0.02617591428533703,0.03546652591498426,-0.009290611629647231,0.08685348830138408,0.09028320913547735,-0.0034297208340932778
fold_04,2024,6.0,1.0,True,"['growth', 'lag']",0.10816420407137775,0.009849987432325782,0.09831421663905197,0.08917681580279078,0.08591193386969732,0.003264881933093461
fold_05,2026,6.0,1.0,True,['mean'],0.002050734314948925,-0.002088884254676588,0.004139618569625513,0.07757039697652608,0.07809758656701835,-0.0005271895904922635
AGGREGATE (mean),,6.0,0.6,1.0,,0.03971409249990344,0.02274070328508924,0.01697338921481419,0.08372933525289554,0.08254612577448514,0.001183209478410395
