fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,v3_mean_ic,v2_mean_ic,mean_ic_delta_vs_v2,v3_true_test_rmse,v2_true_test_rmse,true_test_rmse_delta_vs_v2
fold_01,2021,5.0,0.0,False,['raw'],-0.31666666666666665,-0.0045185828887083545,-0.3121480837779583,0.09412024733938082,0.1019572388101937,-0.007836991470812876
fold_02,2022,5.0,1.0,True,['delta1'],-0.330409255338946,0.08203441572907562,-0.4124436710680216,0.13334834206969076,0.08915644539056346,0.044191896679127304
fold_03,2023,5.0,1.0,True,"['delta1', 'growth1']",0.33333333333333326,-0.03513641844631534,0.3684697517796486,0.079645716782242,0.10979539918900372,-0.03014968240676172
fold_04,2024,5.0,1.0,True,"['delta1', 'std3', 'lag1', 'growth1']",0.0,0.20483573968913973,-0.20483573968913973,0.08744154323606664,0.0754454962498916,0.01199604698617504
fold_05,2025,5.0,1.0,True,"['growth1', 'lag1']",0.33333333333333326,0.03519183691438814,0.2981414964189451,0.0817821806851543,0.056164908024064576,0.025617272661089728
AGGREGATE (mean),,5.0,0.8,0.8,,0.003918148932210786,0.05648139819951596,-0.05256324926730519,0.0952676060225069,0.08650389753274342,0.008763708489763496
