comparison,n_folds,observed_delta,ci_5th_percentile,ci_5th_percentile_above_zero,raw_p_value,holm_adjusted_p_value,significant_at_0.05
v2_vs_baseline_a,5,0.023648869308471557,-0.0606510298822504,False,0.3363333333333333,1.0,False
v2_vs_baseline_b,5,0.06727003664342583,-0.028538518099457986,False,0.12933333333333333,0.776,False
v2_vs_baseline_c,5,-0.0291048823337499,-0.09276350968953499,False,0.7983333333333333,1.0,False
v3_vs_baseline_c,5,-0.05924032349877498,-0.3079519941741166,False,0.6223333333333333,1.0,False
v3_vs_v2,5,-0.15719343375691475,-0.3468820344209772,False,0.8676666666666667,1.0,False
v3_v2_did_attribution,5,-0.0052187262045017,-0.17384954972281344,False,0.5533333333333333,1.0,False
