fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.2,True,"['raw', 'raw', 'raw', 'raw', 'mean']",0.06026102838587513,0.051987868311202924,0.008273160074672208,0.06013887717870119,0.06009274821384966,4.612896485153145e-05
fold_02,2020,6.0,0.16666666666666666,True,"['raw', 'std', 'raw', 'raw', 'raw', 'raw']",0.06934078972396196,0.11518851034018862,-0.04584772061622666,0.10406790546524199,0.10146464621093616,0.002603259254305823
fold_03,2022,6.0,0.25,True,"['raw', 'std', 'raw', 'raw']",0.07944977972763534,0.006491662675755447,0.07295811705187989,0.0868152064720705,0.08785776787539439,-0.0010425614033238856
fold_04,2024,6.0,0.0,False,"['raw', 'raw', 'raw']",0.027801653342784085,-0.025761308636415823,0.05356296197919991,0.08670342833188151,0.08585809209760432,0.0008453362342771831
fold_05,2026,6.0,0.6666666666666666,True,"['raw', 'lag', 'lag']",0.056954396134433656,0.02730604759608236,0.029648348538351296,0.07700029194964932,0.07882323496516812,-0.001822943015518802
AGGREGATE (mean),,6.0,0.25666666666666665,0.8,,0.058761529462938035,0.0350425560573627,0.023718973405575328,0.0829451418795089,0.08281929787259054,0.00012584400691837
