fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,winner_mean_ic,winner_true_test_rmse
fold_01,2018,6.0,0.0,False,"['raw', 'raw', 'raw', 'raw']",0.029825289615495937,0.061224289375708285
fold_02,2020,6.0,0.25,True,"['growth', 'raw', 'raw', 'raw']",0.09078395495048873,0.10624785427542399
fold_03,2022,6.0,0.5,True,"['raw', 'raw', 'std', 'std']",-0.0017579458113111824,0.08748572545339038
fold_04,2024,6.0,0.16666666666666666,True,"['raw', 'raw', 'lag', 'raw', 'raw', 'raw']",0.020134520211294697,0.08470724488573315
fold_05,2026,6.0,0.5,True,"['lag', 'raw']",-0.018626487488260957,0.07917495637136177
AGGREGATE (mean),,6.0,0.2833333333333333,0.8,,0.024071866295541443,0.08376801407232352
