fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,5.0,0.3333333333333333,True,"['raw', 'mean', 'raw']",-0.0038155998820972553,0.010482986691945875,-0.014298586574043131,0.06473026877675878,0.062195802142646785,0.002534466634111991
fold_02,2020,3.0,0.0,False,"['raw', 'raw']",0.044400972056369836,0.01492325055056768,0.029477721505802155,0.09776913966437055,0.09710176808486659,0.0006673715795039586
fold_03,2022,5.0,0.25,True,"['raw', 'growth', 'raw', 'raw']",-0.030075538489379727,0.015156126562218363,-0.04523166505159809,0.08252204617445838,0.08137103622917344,0.001151009945284942
fold_04,2024,5.0,0.0,False,"['raw', 'raw', 'raw', 'raw']",0.02045793682701941,0.039075945393075615,-0.018618008566056204,0.08846835171924965,0.08935085808526347,-0.0008825063660138216
fold_05,2026,1.0,0.0,False,['raw'],-0.019383508746433922,-0.047385291676259954,0.02800178292982603,0.07457925844504747,0.07491028343913683,-0.0003310249940893656
AGGREGATE (mean),,3.8,0.11666666666666665,0.4,,0.0023168523530956693,0.006450603504309517,-0.004133751151213848,0.08161381295597696,0.08098594959621744,0.0006278633597595409
