fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.0019092614929911017,0.028732049483055466,0.030641310976046568,,,
fold_02,2020,-0.015582865718052272,0.016881212543609504,0.032464078261661776,,,
fold_03,2022,-0.022848707450442672,0.09189689309196623,0.1147456005424089,,,
fold_04,2024,0.025769726006383744,-0.007659250933759441,-0.033428976940143185,,,
fold_05,2026,-0.03868604908919132,-0.001885826991862849,0.03680022209732847,,,
AGGREGATE (fold-weighted mean),,-0.010651431548858725,0.025593015438601784,0.0362444469874605,-0.03230814236057275,0.379,True
