fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.0,False,"['raw', 'raw', 'raw', 'raw']",0.029825289615495937,0.030885728659976314,-0.0010604390444803775,0.061224289375708285,0.06114013297242896,8.41564032793285e-05
fold_02,2020,6.0,0.25,True,"['growth', 'raw', 'raw', 'raw']",0.09078395495048873,0.08065332058364319,0.01013063436684554,0.10624785427542399,0.10040766012976354,0.005840194145660449
fold_03,2022,6.0,0.5,True,"['raw', 'raw', 'std', 'std']",-0.0017579458113111824,0.062668403396891,-0.06442634920820219,0.08748572545339038,0.08754970212991027,-6.397667651988903e-05
fold_04,2024,6.0,0.16666666666666666,True,"['raw', 'raw', 'lag', 'raw', 'raw', 'raw']",0.020134520211294697,-0.01353054287412881,0.03366506308542351,0.08470724488573315,0.08508962313084949,-0.00038237824511633267
fold_05,2026,6.0,0.5,True,"['lag', 'raw']",-0.018626487488260957,0.022892499383946392,-0.04151898687220735,0.07917495637136177,0.07833802028606687,0.0008369360852948926
AGGREGATE (mean),,6.0,0.2833333333333333,0.8,,0.024071866295541443,0.03671388183006562,-0.012642015534524171,0.08376801407232352,0.08250502772980384,0.0012629863425196897
