fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,5.0,0.5,True,"['delta', 'lag', 'raw', 'raw']",0.027262828912856515,0.04938082588877645,-0.022117996975919936,0.06151016254491961,0.060822696141458264,0.0006874664034613454
fold_02,2020,5.0,0.5,True,"['raw', 'lag']",0.08607962533998796,0.023302966247387924,0.06277665909260004,0.09608896688941834,0.09758781646448579,-0.0014988495750674485
fold_03,2022,5.0,0.2,True,"['raw', 'lag', 'raw', 'raw', 'raw']",0.009025981674562972,-0.005294349596364388,0.014320331270927359,0.08232259657247505,0.08303275633118787,-0.0007101597587128167
fold_04,2024,5.0,0.2,True,"['raw', 'mean', 'raw', 'raw', 'raw']",0.017903707664683147,0.01514429110953717,0.0027594165551459767,0.08948687425703465,0.0886490560985729,0.0008378181584617478
fold_05,2026,5.0,1.0,True,"['growth', 'mean']",0.0006050930585195126,-0.03448410501848906,0.03508919807700857,0.07195191755692909,0.07457283554848117,-0.002620917991552077
AGGREGATE (mean),,5.0,0.48,1.0,,0.028175447330122026,0.009609925726169621,0.0185655216039524,0.08027210356415534,0.0809330321168372,-0.0006609285526818498
