fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,1.0,True,"['mean', 'delta', 'lag']",0.21472981414035014,-0.0011619249292720846,0.21589173906962222,0.10500993745367111,0.06014566244473431,0.044864275008936805
fold_02,2020,6.0,1.0,True,"['delta', 'delta']",0.2439343044707184,0.08776253026461057,0.15617177420610784,0.08181100097134295,0.10016693663743782,-0.018355935666094877
fold_03,2022,6.0,0.3333333333333333,True,"['lag', 'raw', 'raw']",0.06262146165510439,0.03862768074599159,0.023993780909112798,0.08588994046711598,0.08805159822220639,-0.0021616577550904043
fold_04,2024,6.0,0.4,True,"['raw', 'lag', 'raw', 'mean', 'raw']",-0.00014195626740194149,0.0387764111816891,-0.03891836744909104,0.07496372684572152,0.08432226518114966,-0.009358538335428143
fold_05,2026,6.0,1.0,True,"['delta', 'delta']",-0.004611764429507656,-0.0015432670721190669,-0.003068497357388589,0.07966923952995131,0.07889066001563719,0.0007785795143141205
AGGREGATE (mean),,6.0,0.7466666666666667,1.0,,0.10330637191385265,0.03249228603818002,0.07081408587567264,0.08546876905356057,0.08231542450023308,0.0031533445533275
