fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.015508024467469012,-0.012841350320209846,0.0026666741472591658,,,
fold_02,2020,0.03359259536999816,-0.038909305409340386,-0.07250190077933855,,,
fold_03,2022,-0.0204663799790724,-0.026536786814793014,-0.006070406835720615,,,
fold_04,2024,-0.01303883402310819,0.08408052898808309,0.09711936301119128,,,
fold_05,2026,-0.03917115649164256,0.09700359953214611,0.13617475602378867,,,
AGGREGATE (fold-weighted mean),,-0.0109183599182588,0.02055933719517719,0.031477697113435996,-0.029566376122609782,0.44066666666666665,True
