fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.07314136911159216,0.006160183082724133,0.0793015521943163,,,
fold_02,2020,-0.007262223718372984,0.048288132349722665,0.05555035606809565,,,
fold_03,2022,0.0,-0.11431664536600272,-0.11431664536600272,,,
fold_04,2024,-0.05090435895099071,-0.002277757960373772,0.048626600990616935,,,
fold_05,2026,0.0006720316437648435,-0.055477856258907325,-0.05614988790267217,,,
AGGREGATE (fold-weighted mean),,-0.026127184027438206,-0.023524788830567404,0.002602395196870799,-0.013229923919606701,0.14433333333333334,True
