fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,5.0,0.3333333333333333,True,"['raw', 'delta', 'raw']",0.025975471481085758,-0.012296722299704034,0.03827219378078979,0.06189284194067389,0.0626467078593661,-0.000753865918692212
fold_02,2020,5.0,0.6666666666666666,True,"['raw', 'lag', 'delta']",0.014013304333545593,0.0031230504676539694,0.010890253865891623,0.09934073740660983,0.1013101285763014,-0.0019693911696915672
fold_03,2022,5.0,0.5,True,"['delta', 'raw']",-0.006696387908034715,0.0291542271361894,-0.03585061504422411,0.08490959205345616,0.08529061640313304,-0.00038102434967687837
fold_04,2024,5.0,0.6666666666666666,True,"['raw', 'mean', 'mean']",0.03633287807008117,0.004206420569351711,0.032126457500729455,0.08874751967823954,0.08907017968847535,-0.0003226600102358007
fold_05,2026,3.0,0.0,False,"['raw', 'raw']",-0.02275459584073496,-0.010373912036380377,-0.012380683804354583,0.07302126975948267,0.07435770561654705,-0.0013364358570643747
AGGREGATE (mean),,4.6,0.4333333333333333,0.8,,0.009374134027188572,0.002762612767422134,0.0066115212597664345,0.0815823921676924,0.08253506762876459,-0.0009526754610721666
