fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,winner_mean_ic,winner_true_test_rmse
fold_01,2018,6.0,1.0,True,"['mean', 'delta', 'lag']",0.21472981414035014,0.10500993745367111
fold_02,2020,6.0,1.0,True,"['delta', 'delta']",0.2439343044707184,0.08181100097134295
fold_03,2022,6.0,0.3333333333333333,True,"['lag', 'raw', 'raw']",0.06262146165510439,0.08588994046711598
fold_04,2024,6.0,0.4,True,"['raw', 'lag', 'raw', 'mean', 'raw']",-0.00014195626740194149,0.07496372684572152
fold_05,2026,6.0,1.0,True,"['delta', 'delta']",-0.004611764429507656,0.07966923952995131
AGGREGATE (mean),,6.0,0.7466666666666667,1.0,,0.10330637191385265,0.08546876905356057
