fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.02413391079780186,-0.05371937384648339,-0.02958546304868153,,,
fold_02,2020,0.008794122670537322,-0.011215062744234852,-0.020009185414772174,,,
fold_03,2022,0.053342310932360006,0.08518362240018881,0.03184131146782881,,,
fold_04,2024,0.00030743666900424644,-0.1632762581128259,-0.16358369478183013,,,
fold_05,2026,0.016106214019150647,-0.005354528807106396,-0.021460742826257043,,,
AGGREGATE (fold-weighted mean),,0.010883234698650072,-0.029676320222092344,-0.04055955492074241,-0.05314498865380238,0.7203333333333334,True
