fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.3333333333333333,True,"['mean', 'raw', 'raw']",-0.001957770780261174,-0.003882584321297513,0.001924813541036339,0.060331422859088824,0.06051595173924072,-0.00018452888015189906
fold_02,2020,6.0,0.5,True,"['raw', 'std']",0.06906700892661917,0.06086154036610345,0.008205468560515718,0.10283154176435477,0.10142661112071433,0.0014049306436404452
fold_03,2022,6.0,0.2,True,"['raw', 'raw', 'mean', 'raw', 'raw']",0.07892109318902545,0.04843915586108071,0.030481937327944734,0.08658647976296752,0.08529230470459578,0.0012941750583717326
fold_04,2024,6.0,1.0,True,"['delta', 'lag', 'lag', 'lag', 'growth']",-0.14349921232362592,-0.007277541102048288,-0.13622167122157763,0.07739510519306729,0.0868669992520741,-0.009471894059006808
fold_05,2026,6.0,0.3333333333333333,True,"['raw', 'raw', 'std']",0.024094194681596556,0.025194538649688205,-0.0011003439680916487,0.07888847896642523,0.07809577899530397,0.0007926999711212607
AGGREGATE (mean),,6.0,0.47333333333333333,1.0,,0.005325062738670819,0.024667021890705316,-0.0193419591520345,0.08120660570918073,0.08243952916238578,-0.0012329234532050537
