feature,development/fold_01,development/fold_02,development/fold_03,final_test/fold_01,final_test/fold_02,final_test/fold_03,final_test/fold_04,final_test/fold_05,final_test/fold_06
ff_frank_bal_cf,True,True,True,True,True,True,True,True,True
ff_fscore,True,True,True,True,True,True,True,True,True
ff_ga_exp,True,True,True,True,True,True,True,True,True
ff_gross_inc,True,True,True,True,True,True,True,True,True
ff_gross_mgn,True,True,True,True,True,True,True,True,True
ff_gw_impair,True,True,False,False,False,False,False,False,False
ff_gw_wdown,True,True,True,True,True,True,True,True,True
ff_impair,True,True,True,True,True,True,True,True,True
ff_impair_intang_oth,True,True,True,True,True,True,True,True,True
ff_impair_ppe,True,True,True,True,True,True,True,True,True
ff_inc_unearn,True,True,True,True,True,True,True,True,True
ff_ins_contract_assets,True,True,True,True,True,True,True,True,True
ff_ins_contract_liabs,True,True,True,True,True,True,True,True,True
ff_ins_fin_exp,True,True,True,True,True,True,True,True,True
ff_ins_fin_inc,True,True,True,True,True,True,True,True,True
ff_ins_fin_result,True,True,True,True,True,True,True,True,True
ff_ins_invest_inc,True,True,True,True,True,True,True,True,True
ff_ins_liabs_oth,True,True,True,True,True,True,True,True,True
ff_ins_liabs_pol,True,True,True,True,True,True,True,True,True
ff_ins_lt_rsrv,True,True,True,True,True,True,True,True,True
ff_ins_rev,True,True,True,True,True,True,True,True,True
ff_ins_rsrv,True,True,True,True,True,True,True,True,True
ff_ins_rsrv_gr,True,True,True,True,True,True,True,True,True
ff_ins_serv_exp,True,True,True,True,True,True,True,True,True
ff_ins_serv_result,True,True,True,True,True,True,True,True,True
ff_int_cf,True,True,True,True,True,True,True,True,True
ff_int_exp_deps,True,True,True,True,True,True,True,True,True
ff_int_exp_fed_repos,True,True,True,True,True,True,True,True,True
ff_int_exp_ib_liabs,True,True,True,True,True,True,True,True,True
ff_int_exp_lease,True,True,True,True,True,True,True,True,True
ff_int_exp_oth_borr,True,True,True,True,True,True,True,True,True
ff_int_exp_tot,True,True,True,True,True,True,False,False,False
ff_int_fin_cf,True,True,True,True,True,True,True,True,True
ff_int_inc,True,True,True,True,True,True,True,True,True
ff_int_inc_aft_prov,True,True,True,True,True,True,True,True,True
ff_int_inc_avg_deps,True,True,True,True,True,True,True,True,True
ff_int_inc_deps,True,True,True,True,True,True,True,True,True
ff_int_inc_earn_assets,True,True,True,True,True,True,True,True,True
ff_int_inc_fed_funds,True,True,True,True,True,True,True,True,True
ff_int_inc_fed_repos,True,True,True,True,True,True,True,True,True
ff_int_inc_loan,True,True,True,True,True,True,True,True,True
ff_int_inc_misc,True,True,True,True,True,True,True,True,True
ff_int_inc_net,True,True,True,True,True,True,True,True,True
ff_int_inc_non_oper,True,True,True,True,True,True,True,True,True
ff_int_inc_oth,True,True,True,True,True,True,True,True,True
ff_int_mgn,True,True,True,True,True,True,True,True,True
ff_int_oper_cf,True,True,True,True,True,True,True,True,True
ff_intang_oth_amort,True,True,True,True,True,True,True,True,True
ff_intang_oth_gross,True,True,True,True,True,True,True,True,True
ff_intang_oth_impair,True,True,False,False,False,False,False,False,False
ff_inven,True,True,True,True,True,True,True,True,True
ff_inven_cf,True,True,True,True,True,True,True,True,True
ff_inven_curr_assets,True,True,True,True,True,True,True,True,True
ff_inven_days,True,True,True,True,True,True,True,True,True
ff_inven_fg,True,True,True,True,True,True,True,True,True
ff_inven_lifo,True,True,True,True,True,True,True,True,True
ff_inven_matl,True,True,True,True,True,True,True,True,True
ff_inven_prog_paymt,True,True,True,True,True,True,True,True,True
ff_inven_turn,True,True,True,True,True,True,True,True,True
ff_inven_wip,True,True,True,True,True,True,True,True,True
ff_invest_assets_deps,True,True,True,True,True,True,True,True,True
ff_invest_assets_loan_deps,True,True,True,True,True,True,True,True,True
ff_invest_contract_liabs,True,True,True,True,True,True,True,True,True
ff_invest_inc,True,True,True,True,True,True,True,True,True
ff_invest_inc_invest_assets,True,True,True,True,True,True,True,True,True
ff_invest_re,True,True,True,True,True,True,True,True,True
ff_invest_st_tot,True,True,True,True,True,True,True,True,True
ff_invest_yld,True,True,True,True,True,True,True,True,True
ff_invest_yld_5yavg,True,True,True,True,True,True,True,True,True
ff_labor_exp,True,True,True,True,True,True,True,True,True
ff_legal_claim_exp,True,True,True,True,True,True,True,True,True
ff_liabs_curr_dfd_tax,True,True,True,True,True,True,True,True,True
ff_liabs_lease_lt,True,True,True,True,True,True,True,True,True
ff_liabs_lease_st,True,True,True,True,True,True,True,True,True
ff_liabs_oper_lease,True,True,True,True,True,True,True,True,True
ff_liabs_oper_lease_curr,True,True,True,True,True,True,True,True,True
ff_liabs_xmin_int_accum,True,True,True,True,True,True,True,True,True
ff_loan_assets,True,True,True,True,True,True,True,True,True
ff_loan_bk,True,True,True,True,True,True,True,True,True
