fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,0.005177379725573704,0.09927598089283712,0.09409860116726342,,,
fold_02,2020,-0.02809554681825998,0.015024396160809292,0.04311994297906927,,,
fold_03,2022,-0.030216257031497114,0.06150551738581024,0.09172177441730736,,,
fold_04,2024,0.06775365489670726,0.04374241048579316,-0.024011244410914102,,,
fold_05,2026,0.05276795682063625,0.031438519568380056,-0.021329437252256195,,,
AGGREGATE (fold-weighted mean),,0.013477437518632025,0.05019736489872597,0.036719927380093956,-0.005743517878435508,0.09366666666666666,True
