fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.3333333333333333,True,"['lag', 'raw', 'raw']",0.09503817634012787,0.012234373388064395,0.08280380295206348,0.06885025329646127,0.05979058018245167,0.009059673114009605
fold_02,2020,6.0,1.0,True,['mean'],0.10946034056792811,0.05752859877003876,0.05193174179788935,0.1050167390297535,0.099964576328649,0.005052162701104507
fold_03,2022,6.0,0.0,False,"['raw', 'raw', 'raw', 'raw']",0.05795010645047333,0.039679012676209095,0.01827109377426423,0.08758719850348884,0.08746823215053534,0.00011896635295349789
fold_04,2024,6.0,0.0,False,"['raw', 'raw', 'raw', 'raw', 'raw']",0.030298893726931703,0.03803789227358616,-0.007738998546654455,0.08748047002913431,0.0847062304576926,0.002774239571441711
fold_05,2026,6.0,0.5,True,"['raw', 'lag']",0.024942971567202835,0.04765392062086228,-0.022710949053659446,0.07966788180555849,0.07869185820955873,0.000976023595999756
AGGREGATE (mean),,6.0,0.36666666666666664,0.6,,0.06353809773053276,0.03902675954575213,0.02451133818478063,0.0857205085328793,0.08212429546577746,0.0035962130671018154
