fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.0,False,"['raw', 'raw', 'raw', 'raw']",0.028884036111104777,0.021394804885383634,0.007489231225721142,0.06022702782803424,0.06091335499310638,-0.000686327165072137
fold_02,2020,6.0,1.0,True,['delta'],0.1794977948474829,0.05643865934684969,0.12305913550063322,0.08263942115300606,0.10145842888530403,-0.01881900773229797
fold_03,2022,6.0,0.3333333333333333,True,"['std', 'raw', 'raw']",0.021798935044882038,0.09528152480252437,-0.07348258975764234,0.08478210990966457,0.08826983863169925,-0.0034877287220346775
fold_04,2024,6.0,0.0,False,"['raw', 'raw', 'raw']",0.02482011711405745,0.04164051329979062,-0.01682039618573317,0.08623356266536857,0.08579173198045317,0.00044183068491539246
fold_05,2026,6.0,0.3333333333333333,True,"['raw', 'raw', 'delta']",0.028689845079806726,0.023368558124775184,0.005321286955031541,0.07924371105663615,0.07852490535981542,0.000718805696820729
AGGREGATE (mean),,6.0,0.3333333333333333,0.6,,0.056738145639466775,0.0476248120918647,0.00911333354760208,0.07862516652254191,0.08299165197007564,-0.004366485447533733
