fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.03393460580560259,-0.008330979728153842,0.02560362607744875,,,
fold_02,2020,-0.020420051436951026,0.10406603396576454,0.12448608540271557,,,
fold_03,2022,0.03228249810399779,0.010471286942044227,-0.021811211161953562,,,
fold_04,2024,0.05617318765520582,0.05791978898888517,0.0017466013336793484,,,
fold_05,2026,0.0059875855341775495,0.09629452589594337,0.09030694036176581,,,
AGGREGATE (fold-weighted mean),,0.008017722810165509,0.0520841312128967,0.04406640840273118,-0.010213996890603767,0.119,True
