fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.02700224048954123,0.017523421733531816,0.04452566222307305,,,
fold_02,2020,0.007250653764354367,0.025190102573236187,0.01793944880888182,,,
fold_03,2022,-0.02541008668798591,0.011549055158511044,0.03695914184649696,,,
fold_04,2024,-0.012700492906184507,0.01202693741623818,0.024727430322422687,,,
fold_05,2026,0.011307640476562426,-0.02097237954412426,-0.03228002002068668,,,
AGGREGATE (fold-weighted mean),,-0.009310905168558972,0.009063427467478593,0.01837433263603757,-0.006342295545909336,0.10333333333333333,True
