comparison,observed_delta,lower_bound_95,raw_p_value,insufficient_folds,holm_adjusted_p_value,significant_at_0.05
GA-ON - Fixed,0.020126717278752742,-0.0009130417705961319,0.057,False,0.114,False
GA-ON - Raw,0.007467416795730747,-0.0036298837359680664,0.129,False,0.129,False
GA-ON - Random,0.018005176470215562,0.009474498805353958,0.0003333333333333333,False,0.001,True
GA-OFF - Fixed,0.017361474609698484,-0.0037510196737681537,0.09866666666666667,False,0.296,False
GA-OFF - Raw,-0.0052792335472846355,-0.014954530116625179,0.8676666666666667,False,1.0,False
GA-OFF - Random,-0.0013481350653213476,-0.008885862222223942,0.654,False,1.0,False
