fold_name,eval_year,n_months,temporal_rank_ic,no_temporal_rank_ic,rank_ic_delta_on_minus_off
fold_01,2018,24,0.033323006761298034,0.017254738956873225,0.01606826780442481
fold_02,2020,23,0.09156415339206649,0.07310075782821628,0.01846339556385021
fold_03,2022,24,0.04362656463373834,0.04833177631384375,-0.00470521168010541
fold_04,2024,24,-0.0018531904623470656,0.0086771240697561,-0.010530314532103166
fold_05,2026,18,0.003484648762338005,0.02731674493820195,-0.023832096175863945
AGGREGATE (pooled),,113,0.03514170219578899,0.03500306356732711,0.00013863862846188318
