boot_delta,null_delta
0.009852761371412213,0.009714122742950323
-0.004057795854171254,-0.004196434482633144
-0.007409981640407692,-0.007548620268869582
-0.012386576175524858,-0.012525214803986748
-0.011215650415174134,-0.011354289043636024
0.004447814238901979,0.004309175610440089
-0.012010135774508537,-0.012148774402970427
-0.007636130402089841,-0.007774769030551731
0.0016990124926411908,0.0015603738641793011
-0.008439739078665942,-0.008578377707127832
-0.001590905125763167,-0.0017295437542250566
-0.014354685608479674,-0.014493324236941564
-0.005365447812996387,-0.005504086441458277
0.005909023486919341,0.005770384858457451
-0.00882914298381991,-0.008967781612281801
-0.006659759877049163,-0.006798398505511053
0.016578089410049457,0.016439450781587567
-0.0002447742858737284,-0.00038341291433561814
-0.00674646423460923,-0.00688510286307112
0.019667904749020422,0.019529266120558532
0.011034255928594146,0.010895617300132256
-0.013095673091123571,-0.013234311719585461
0.004436118441785072,0.004297479813323182
-0.004099524099105994,-0.004238162727567884
-0.006804930573102935,-0.006943569201564825
-0.007635168863283132,-0.007773807491745022
0.0016492842908198573,0.0015106456623579676
-0.0032071116563118255,-0.0033457502847737152
0.012600308802317736,0.012461670173855846
-0.012636184241411259,-0.012774822869873149
-0.0043939103531458945,-0.004532548981607785
-0.00044453613183952973,-0.0005831747603014195
-0.011656934985389753,-0.011795573613851643
0.004660118071811905,0.004521479443350015
0.0064410059646901885,0.006302367336228298
0.0005802029731015948,0.00044156434463970504
0.0007630847786577455,0.0006244461501958558
-0.00040014968639374857,-0.0005387883148556383
0.006454659906450858,0.006316021277988968
0.0005765823189238204,0.0004379436904619306
-0.01048575929441164,-0.01062439792287353
-0.006448177950804238,-0.006586816579266128
0.0027499739416125797,0.00261133531315069
-0.0049776751613259205,-0.005116313789787811
-0.0016306968464801803,-0.00176933547494207
0.002515329162368551,0.0023766905339066614
0.0024514195042822187,0.002312780875820329
0.0023632745291273472,0.0022246359006654576
0.007399278344249466,0.007260639715787576
0.01191185436777328,0.01177321573931139
-0.009506989806677303,-0.009645628435139194
-0.000533140295727538,-0.0006717789241894277
-0.004126978118505172,-0.004265616746967062
0.004976942022000405,0.004838303393538515
-0.012913384491061294,-0.013052023119523184
-0.012255152571995507,-0.012393791200457397
-0.010831842013733344,-0.010970480642195234
-0.02069184434743413,-0.02083048297589602
-0.016633072408832748,-0.016771711037294638
-0.0052741671834218035,-0.005412805811883694
-0.010791962827962779,-0.010930601456424669
-0.011366870626507037,-0.011505509254968927
-0.016912661928097313,-0.017051300556559203
-0.00516085648183462,-0.00529949511029651
0.0015282889958520064,0.0013896503673901167
-0.00739693213945336,-0.00753557076791525
