fold_name,eval_year,lift_no_temporal,lift_temporal,lift_delta,bootstrap_lower_bound_95,raw_p_value,descriptive_only_not_a_gate
fold_01,2018,-0.030997604656398333,-0.0332885078914148,-0.002290903235016465,,,
fold_02,2020,-0.018041600053544313,0.08749971819486625,0.10554131824841056,,,
fold_03,2022,0.017339892984736087,0.020229777496944622,0.002889884512208535,,,
fold_04,2024,-0.02888804755163095,-0.2146077164809589,-0.18571966892932795,,,
fold_05,2026,0.027760098851405436,-0.02132499247583161,-0.04908509132723705,,,
AGGREGATE (fold-weighted mean),,-0.006565452085086415,-0.032298344231278885,-0.02573289214619247,-0.05358055810742419,0.7743333333333333,True
