fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,6.0,0.2,True,"['std', 'raw', 'raw', 'raw', 'raw']",0.024844234598279745,0.021384160822455724,0.0034600737758240206,0.060514696631712016,0.060067779786978144,0.0004469168447338717
fold_02,2020,6.0,0.5,True,"['std', 'raw', 'mean', 'raw']",0.12218958536180448,0.06671425383218715,0.055475331529617325,0.10472468324318993,0.10149316037502254,0.0032315228681673858
fold_03,2022,6.0,0.5,True,"['std', 'std', 'raw', 'raw']",0.011745137420924989,0.06656046142458054,-0.05481532400365555,0.08720053986347734,0.08918360080084095,-0.001983060937363612
fold_04,2024,6.0,0.6666666666666666,True,"['raw', 'std', 'lag', 'std', 'raw', 'growth']",-0.1704233711026456,-0.012985591048829426,-0.15743778005381617,0.08094199444032497,0.08390949331830619,-0.0029674988779812145
fold_05,2026,6.0,0.5,True,"['raw', 'raw', 'growth', 'growth']",0.008378867332976882,0.05122032999431876,-0.04284146266134188,0.07946697291760983,0.07802389542820351,0.001443077489406322
AGGREGATE (mean),,6.0,0.47333333333333333,1.0,,-0.0006531092777319055,0.03857872300494255,-0.03923183228267445,0.08256977741926283,0.08253558594187027,3.419147739255057e-05
