seed,rank_ic,n_months,arm
10,0.029374158385409087,115,temporal_on
11,0.010771035325793944,115,temporal_on
12,0.0032603463139447815,115,temporal_on
10,0.011527057497676517,115,temporal_off
11,0.0033337660197613776,115,temporal_off
12,0.008791294599116884,115,temporal_off
