comparison,observed_delta,lower_bound_95,raw_p_value,insufficient_folds,holm_adjusted_p_value,significant_at_0.05
GA-ON - Fixed,0.016928702983996836,-0.00029184426388787627,0.056,False,0.112,False
GA-ON - Raw,-0.002866874968407026,-0.015478223535752771,0.48433333333333334,False,0.48433333333333334,False
GA-OFF - Fixed,0.014187664485711536,-0.00011496025274360458,0.052,False,0.104,False
GA-OFF - Raw,-0.011417988550907381,-0.021962239871621655,0.9656666666666667,False,0.9656666666666667,False
