fold_name,eval_year,n_months,temporal_rank_ic,no_temporal_rank_ic,rank_ic_delta_on_minus_off
fold_01,2018,24,0.01647423350394834,0.01585569676033943,0.00061853674360891
fold_02,2020,24,0.04816463390996779,0.013783089088536525,0.03438154482143126
fold_03,2022,24,-0.009248648240950494,0.01300533470068113,-0.022253982941631625
fold_04,2024,24,0.024898174187261247,0.019475552357321495,0.005422621829939751
fold_05,2026,19,-0.01384433717621645,-0.03074776957704313,0.01690343240082668
AGGREGATE (pooled),,115,0.014468513341715937,0.007884039372184926,0.0065844739695310114
