fold_name,eval_year,winner_leaf_count,winner_temporal_fraction,winner_uses_any_temporal,winner_leaf_classification,temporal_mean_ic,no_temporal_mean_ic,mean_ic_delta_vs_no_temporal,temporal_true_test_rmse,no_temporal_true_test_rmse,true_test_rmse_delta_vs_no_temporal
fold_01,2018,5.0,0.5,True,"['growth', 'raw', 'std', 'raw']",0.020715908123332197,0.01406686028835713,0.0066490478349750665,0.06408474737812075,0.061859070320396975,0.0022256770577237794
fold_02,2020,5.0,0.0,False,"['raw', 'raw', 'raw']",0.013069368630138328,0.010374661114044637,0.0026947075160936914,0.09788747152100126,0.09796021965852789,-7.274813752662646e-05
fold_03,2022,5.0,0.2,True,"['raw', 'raw', 'growth', 'raw', 'raw']",0.0065843286657988375,-0.009043553634703131,0.01562788230050197,0.08199947009324493,0.08038428086182281,0.0016151892314221206
fold_04,2024,5.0,0.25,True,"['raw', 'delta', 'raw', 'raw']",0.03938712612820247,0.02150756579689415,0.01787956033130832,0.09372999598299889,0.09491096816597572,-0.0011809721829768305
fold_05,2026,5.0,0.0,False,"['raw', 'raw', 'raw', 'raw']",-0.025145626577712632,-0.004362613167582199,-0.020783013410130433,0.07436309815568858,0.07330980442248689,0.0010532937332016906
AGGREGATE (mean),,5.0,0.19,0.6,,0.010922220993951843,0.006508584079402117,0.004413636914549724,0.08241295662621087,0.08168486868584206,0.0007280879403688267
